vcenter_host_scope,datastore,status,deleted_vmdk_count,deleted_size_gb,remaining_vmdk_count,remaining_size_gb,validations,baseline_job_id,verification_job_id,created_at,updated_at
s2001.ms,STA_LUN_0000,datastore_removed,12,16762.88,0,0.0,2,bf2d4c54-0be3-4a36-ae0a-12854dc4c711,1f5ceb84-d596-4877-b294-2263dbaf2171,2026-03-06 19:58:23,2026-03-10 12:17:26
s2001.ms,STD_LUN_07,partial_cleanup,1,10240.0,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,4be24884-02fe-4731-baee-405601fb077d,2026-06-01 18:39:14,2026-06-01 18:39:14
s2001.ms,STB_LUN_03,datastore_removed,9,2810.851,0,0.0,2,35e3429b-01a5-4b68-9550-1bae9949d27b,da09a8b9-7165-4d68-8cc4-c33d5828b38c,2026-04-07 00:07:07,2026-04-07 00:07:07
s2001.ms,STB_LUN_02,partial_cleanup,2,1024.001,0,0.0,1,35e3429b-01a5-4b68-9550-1bae9949d27b,e2a47f1f-0880-419a-99f9-a503d97c26c8,2026-03-27 12:33:31,2026-03-27 12:33:31
s2001.ms,STB_LUN_04,datastore_removed,29,931.534,0,0.0,1,35e3429b-01a5-4b68-9550-1bae9949d27b,54b2162c-eb47-409d-ad3c-bd6209a06f2e,2026-03-27 12:35:41,2026-03-27 12:35:41
s2000.ms,STA_LUN_11,datastore_removed,5,653.134,0,0.0,1,d50fbce4-1647-4f2e-8f3c-ee8f09b1933b,3b399160-9c5c-4816-a8f6-e1343af2ed2c,2026-03-16 12:20:35,2026-03-16 12:20:35
s2001.ms,STB_LUN_05,datastore_removed,6,518.244,0,0.0,1,35e3429b-01a5-4b68-9550-1bae9949d27b,01a97899-4a22-4c38-ac33-4ce2303434c8,2026-03-27 12:36:38,2026-03-27 12:36:38
s2001.ms,STD_LUN_02,partial_cleanup,13,448.876,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,4e663a7d-4c50-4847-b9f6-c7f0080af8bd,2026-06-01 18:06:55,2026-06-01 18:06:55
s2001.ms,STA_LUN_10,datastore_removed,2,355.738,0,0.0,1,aee7556b-3869-4833-b333-96bbdef71690,aa301a0a-ac08-4ab2-a9e5-a36eb47974d3,2026-03-13 19:20:22,2026-03-13 19:20:22
s2001.ms,STB_LUN_10,datastore_removed,8,341.081,0,0.0,3,45c71636-d2f1-43f9-8345-f6fc99515f1f,0be988ba-45d2-4062-bbef-5552a3ea9c51,2026-04-08 15:14:20,2026-04-08 15:14:20
s2001.ms,STA_LUN_08,datastore_removed,4,316.021,0,0.0,3,b9018474-2a6e-4df2-b3c0-e1c80cf4934a,6b74a2de-6212-48bb-b665-b6611adfe164,2026-03-13 13:34:31,2026-03-13 13:34:31
s2000.ms,STA_LUN_01,partial_cleanup,8,217.202,0,0.0,1,45db7c30-e273-4305-9790-7c85a0284418,2a394d72-427b-4190-a3bc-9ef1aea5d2db,2026-05-26 11:45:05,2026-05-26 11:45:05
s2001.ms,STB_LUN_08,datastore_removed,3,200.001,0,0.0,1,30f81eea-91f8-4748-ab47-23d5f97b50bf,e4450151-3708-4741-beb3-347610ce5f4a,2026-04-08 19:41:33,2026-04-08 19:41:33
s2000.ms,STA_LUN_12,datastore_removed,6,184.488,0,0.0,1,d50fbce4-1647-4f2e-8f3c-ee8f09b1933b,d94b9919-16ef-4c28-99d7-db0a45d9a816,2026-03-16 12:20:56,2026-03-16 12:20:56
s2001.ms,STC_LUN_04,datastore_removed,1,175.928,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,f776c825-271d-4060-b23f-221c2008011b,2026-05-20 14:44:35,2026-05-20 14:44:35
s2001.ms,STA_LUN_05,datastore_removed,0,174.76,5,171.6,1,f75a2ee1-0ae0-48d7-986e-196ff47127c3,5d581e9f-7c3b-40f1-bed5-6c95df85f2ae,2026-03-09 18:12:46,2026-03-10 12:17:26
s2001.ms,STB_LUN_09,datastore_removed,3,130.001,0,0.0,2,45c71636-d2f1-43f9-8345-f6fc99515f1f,b38ccf2b-71e5-4686-827b-86e7cb0931ab,2026-04-08 15:08:12,2026-04-08 15:08:12
s2001.ms,STA_LUN_15,datastore_removed,2,88.804,0,0.0,1,17fb02d4-98b4-4b20-a443-a505cb3b94a5,79e9cb80-3870-4239-9b8a-5863ac0bca53,2026-03-17 15:13:06,2026-03-17 15:13:06
s2001.ms,STA_LUN_14,datastore_removed,1,50.819,0,0.0,2,17fb02d4-98b4-4b20-a443-a505cb3b94a5,7d0b17c8-13a8-41d9-9137-02686d38f553,2026-03-17 15:14:47,2026-03-17 15:14:47
s2001.ms,STC_LUN_03,datastore_removed,11,49.577,0,0.0,1,19697c70-b983-4277-8193-b76d99f5b6f9,c2af04f1-4687-443d-86b1-6dfb53ba9094,2026-05-20 14:43:07,2026-05-20 14:43:07
s2001.ms,STA_LUN_09,datastore_removed,1,28.549,0,0.0,2,b9018474-2a6e-4df2-b3c0-e1c80cf4934a,eb04078a-5bb2-4b6c-9449-62ea4190ad40,2026-03-13 13:35:42,2026-03-13 13:35:42
