vcenter_host_scope,datastore,status,deleted_vmdk_count,deleted_size_gb,remaining_vmdk_count,remaining_size_gb,validations,first_seen,last_seen
s2001.ms,STA_LUN_0000,datastore_removed,12,16762.88,12,16744.0,2,2026-03-06 19:52:39,2026-03-10 12:17:26
s2001.ms,STD_LUN_07,partial_cleanup,1,10240.0,0,0.0,1,2026-06-01 18:39:14,2026-06-01 18:39:14
s2001.ms,STB_LUN_03,datastore_removed,9,2810.851,0,0.0,2,2026-03-27 12:34:44,2026-04-07 00:07:07
s2000.ms,STB_LUN_01,datastore_removed,10,1523.196,0,0.0,2,2026-04-13 13:00:59,2026-05-27 13:23:51
s2001.ms,STB_LUN_02,partial_cleanup,2,1024.001,0,0.0,1,2026-03-27 12:33:31,2026-03-27 12:33:31
s2001.ms,STB_LUN_04,datastore_removed,29,931.534,0,0.0,1,2026-03-27 12:35:41,2026-03-27 12:35:41
s2000.ms,STA_LUN_11,datastore_removed,5,653.134,0,0.0,1,2026-03-16 12:20:35,2026-03-16 12:20:35
s2001.ms,STB_LUN_05,datastore_removed,6,518.244,0,0.0,1,2026-03-27 12:36:38,2026-03-27 12:36:38
s2001.ms,STD_LUN_02,partial_cleanup,13,448.876,0,0.0,1,2026-06-01 18:06:55,2026-06-01 18:06:55
s2001.ms,STA_LUN_10,datastore_removed,2,355.738,0,0.0,1,2026-03-13 19:20:22,2026-03-13 19:20:22
s2001.ms,STB_LUN_10,datastore_removed,8,341.081,0,0.0,3,2026-04-08 12:41:22,2026-04-08 15:14:20
s2001.ms,STA_LUN_08,datastore_removed,4,316.021,4,316.021,3,2026-03-11 15:17:14,2026-03-13 13:34:31
s2000.ms,STA_LUN_01,partial_cleanup,8,217.202,0,0.0,1,2026-05-26 11:45:05,2026-05-26 11:45:05
s1589.ms,VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689,partial_cleanup,1,204.051,24,11590.38,7,2026-03-17 13:51:24,2026-03-26 11:44:40
s2001.ms,STB_LUN_08,datastore_removed,3,200.001,0,0.0,1,2026-04-08 19:41:33,2026-04-08 19:41:33
s2000.ms,STA_LUN_12,datastore_removed,6,184.488,0,0.0,1,2026-03-16 12:20:56,2026-03-16 12:20:56
s2001.ms,STC_LUN_04,datastore_removed,1,175.928,0,0.0,1,2026-05-20 14:44:35,2026-05-20 14:44:35
s2001.ms,STA_LUN_05,datastore_removed,0,174.76,5,171.6,1,2026-03-09 18:12:46,2026-03-10 12:17:26
s2001.ms,STB_LUN_09,datastore_removed,3,130.001,0,0.0,2,2026-04-07 12:05:17,2026-04-08 15:08:12
s2001.ms,STA_LUN_15,datastore_removed,2,88.804,0,0.0,1,2026-03-17 15:13:06,2026-03-17 15:13:06
s2001.ms,STA_LUN_14,datastore_removed,1,50.819,0,0.0,2,2026-03-17 15:11:58,2026-03-17 15:14:47
s2001.ms,STC_LUN_03,datastore_removed,11,49.577,0,0.0,1,2026-05-20 14:43:07,2026-05-20 14:43:07
s2001.ms,STA_LUN_09,datastore_removed,1,28.549,0,0.0,2,2026-03-13 13:33:31,2026-03-13 13:35:42
s2001.ms,STA_LUN_06,datastore_removed,0,7.18,0,0.0,1,2026-03-10 12:17:26,2026-03-10 12:17:26
s2001.ms,STB_LUN_06,datastore_removed,2,3.041,0,0.0,2,2026-04-08 12:45:41,2026-04-08 15:11:39
s2000.ms,STA_LUN_03,datastore_removed,6,2.0,0,0.0,1,2026-03-09 12:28:29,2026-03-10 12:17:26
s1589.ms,DE800192700032-01-01-service-datastore1,partial_cleanup,1,1.598,7,4.665,1,2026-03-25 17:21:04,2026-03-25 17:21:04
s2001.ms,STD_LUN_01,partial_cleanup,1,1.0,0,0.0,1,2026-06-01 18:04:56,2026-06-01 18:04:56
s2000.ms,STA_LUN_13,datastore_removed,1,0.022,0,0.0,1,2026-03-16 12:21:21,2026-03-16 12:21:21
s2001.ms,STB_LUN_07,datastore_removed,1,0.001,0,0.0,2,2026-04-08 12:44:42,2026-04-08 15:09:19
s1589.ms,DE800192700033-01-01-service-datastore1,no_cleanup,0,0.0,7,3.821,1,2026-03-26 11:45:06,2026-03-26 11:45:06
s2001.ms,STA_LUN_01,datastore_removed,0,0.0,0,0.0,1,2026-06-01 19:25:56,2026-06-01 19:25:56
s2001.ms,STA_LUN_03,no_cleanup,0,0.0,0,0.0,2,2026-03-09 18:09:46,2026-03-10 12:06:18
s2001.ms,STA_LUN_16,datastore_removed,0,0.0,0,0.0,1,2026-03-19 13:22:09,2026-03-19 13:22:09
s2001.ms,STA_LUN_17,datastore_removed,0,0.0,0,0.0,2,2026-03-23 12:41:51,2026-03-23 12:42:41
s2001.ms,STA_LUN_TEMP,datastore_removed,0,0.0,0,0.0,1,2026-03-24 11:49:59,2026-03-24 11:49:59
s2001.ms,STC_LUN_02,datastore_removed,0,0.0,0,0.0,3,2026-05-18 12:05:30,2026-05-20 14:41:53
s2001.ms,STD_LUN_03,no_cleanup,0,0.0,0,0.0,1,2026-06-01 19:43:39,2026-06-01 19:43:39
s2001.ms,STD_LUN_05,no_cleanup,0,0.0,0,0.0,1,2026-06-01 18:35:29,2026-06-01 18:35:29
s2001.ms,STD_LUN_06,no_cleanup,0,0.0,0,0.0,1,2026-06-01 18:37:19,2026-06-01 18:37:19
s2001.ms,STD_LUN_08,no_cleanup,0,0.0,0,0.0,1,2026-06-01 18:41:48,2026-06-01 18:41:48
