vcenter_host_scope,datastore,status_pt,deleted_vmdk_count,deleted_size_gb,deleted_size_tb,participacao_total,validations,first_seen,last_seen,remaining_vmdk_count,remaining_size_gb
s2001.ms,STA_LUN_0000,datastore removido,12,16762.88,16.37,"40,8%",2,2026-03-06 19:52:39,2026-03-10 12:17:26,12,16744.0
s2001.ms,STD_LUN_07,limpeza parcial,1,10240.0,10.0,"24,9%",1,2026-06-01 18:39:14,2026-06-01 18:39:14,0,0.0
s2001.ms,STB_LUN_03,datastore removido,9,2810.851,2.745,"6,8%",2,2026-03-27 12:34:44,2026-04-07 00:07:07,0,0.0
s2000.ms,STB_LUN_01,datastore removido,10,1523.196,1.4875,"3,7%",2,2026-04-13 13:00:59,2026-05-27 13:23:51,0,0.0
s2001.ms,STB_LUN_02,limpeza parcial,2,1024.001,1.0,"2,5%",1,2026-03-27 12:33:31,2026-03-27 12:33:31,0,0.0
s2001.ms,STB_LUN_04,datastore removido,29,931.534,0.9097,"2,3%",1,2026-03-27 12:35:41,2026-03-27 12:35:41,0,0.0
s2000.ms,STA_LUN_11,datastore removido,5,653.134,0.6378,"1,6%",1,2026-03-16 12:20:35,2026-03-16 12:20:35,0,0.0
s2001.ms,STB_LUN_05,datastore removido,6,518.244,0.5061,"1,3%",1,2026-03-27 12:36:38,2026-03-27 12:36:38,0,0.0
s2001.ms,STD_LUN_02,limpeza parcial,13,448.876,0.4384,"1,1%",1,2026-06-01 18:06:55,2026-06-01 18:06:55,0,0.0
s2001.ms,STA_LUN_10,datastore removido,2,355.738,0.3474,"0,9%",1,2026-03-13 19:20:22,2026-03-13 19:20:22,0,0.0
s2001.ms,STB_LUN_10,datastore removido,8,341.081,0.3331,"0,8%",3,2026-04-08 12:41:22,2026-04-08 15:14:20,0,0.0
s2001.ms,STA_LUN_08,datastore removido,4,316.021,0.3086,"0,8%",3,2026-03-11 15:17:14,2026-03-13 13:34:31,4,316.021
s2000.ms,STA_LUN_01,limpeza parcial,8,217.202,0.2121,"0,5%",1,2026-05-26 11:45:05,2026-05-26 11:45:05,0,0.0
s1589.ms,VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689,limpeza parcial,1,204.051,0.1993,"0,5%",7,2026-03-17 13:51:24,2026-03-26 11:44:40,24,11590.38
s2001.ms,STB_LUN_08,datastore removido,3,200.001,0.1953,"0,5%",1,2026-04-08 19:41:33,2026-04-08 19:41:33,0,0.0
s2000.ms,STA_LUN_12,datastore removido,6,184.488,0.1802,"0,4%",1,2026-03-16 12:20:56,2026-03-16 12:20:56,0,0.0
s2001.ms,STC_LUN_04,datastore removido,1,175.928,0.1718,"0,4%",1,2026-05-20 14:44:35,2026-05-20 14:44:35,0,0.0
s2001.ms,STA_LUN_05,datastore removido,0,174.76,0.1707,"0,4%",1,2026-03-09 18:12:46,2026-03-10 12:17:26,5,171.6
s2001.ms,STB_LUN_09,datastore removido,3,130.001,0.127,"0,3%",2,2026-04-07 12:05:17,2026-04-08 15:08:12,0,0.0
s2001.ms,STA_LUN_15,datastore removido,2,88.804,0.0867,"0,2%",1,2026-03-17 15:13:06,2026-03-17 15:13:06,0,0.0
s2001.ms,STA_LUN_14,datastore removido,1,50.819,0.0496,"0,1%",2,2026-03-17 15:11:58,2026-03-17 15:14:47,0,0.0
s2001.ms,STC_LUN_03,datastore removido,11,49.577,0.0484,"0,1%",1,2026-05-20 14:43:07,2026-05-20 14:43:07,0,0.0
s2001.ms,STA_LUN_09,datastore removido,1,28.549,0.0279,"0,1%",2,2026-03-13 13:33:31,2026-03-13 13:35:42,0,0.0
s2001.ms,STA_LUN_06,datastore removido,0,7.18,0.007,"0,0%",1,2026-03-10 12:17:26,2026-03-10 12:17:26,0,0.0
s2001.ms,STB_LUN_06,datastore removido,2,3.041,0.003,"0,0%",2,2026-04-08 12:45:41,2026-04-08 15:11:39,0,0.0
s2000.ms,STA_LUN_03,datastore removido,6,2.0,0.002,"0,0%",1,2026-03-09 12:28:29,2026-03-10 12:17:26,0,0.0
s1589.ms,DE800192700032-01-01-service-datastore1,limpeza parcial,1,1.598,0.0016,"0,0%",1,2026-03-25 17:21:04,2026-03-25 17:21:04,7,4.665
s2001.ms,STD_LUN_01,limpeza parcial,1,1.0,0.001,"0,0%",1,2026-06-01 18:04:56,2026-06-01 18:04:56,0,0.0
s2000.ms,STA_LUN_13,datastore removido,1,0.022,0.0,"0,0%",1,2026-03-16 12:21:21,2026-03-16 12:21:21,0,0.0
s2001.ms,STB_LUN_07,datastore removido,1,0.001,0.0,"0,0%",2,2026-04-08 12:44:42,2026-04-08 15:09:19,0,0.0
