id,action,status,analyst,vcenter_id,vmdk_path,vmdk_tipo_zombie,vmdk_size_gb,issued_at,dryrun_completed_at,executed_at,justification,success,files_processed_count,space_recovered_gb,post_delete_all_removed
1,DELETE,executed,Mauricio Scaff,s1589.ms:443,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_11.vmdk,UNREGISTERED_DIR,204.051,2026-03-17 13:10:05.028152,2026-03-17 13:42:43.755186,2026-03-17 13:42:51.822066,Teste de verificação,True,1,204.051,
2,QUARANTINE,executed,Mauricio Scaff,s1589.ms:443,[DE800192700031-01-01-service-datastore1] images/log-insight-original/VMware-vRealize-Log-Insight-4.6.0-8080673-cloud-components.vmdk,UNREGISTERED_DIR,0.374,2026-03-25 13:00:20.969360,2026-03-25 14:41:54.288494,2026-03-25 14:42:00.315614,blablalablabalbadoiawdoawdoawdw,True,1,0.374,
4,DELETE,executed,Mauricio Scaff,5,[DE800192700031-01-01-service-datastore1] images/log-insight-original/VMware-vRealize-Log-Insight-4.6.0-8080673-cloud-components.vmdk,UNREGISTERED_DIR,0.374,2026-03-25 15:23:22.811387,2026-03-25 16:55:27.502245,2026-03-25 17:08:46.051099,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,1,0.374,True
5,DELETE,executed,Mauricio Scaff,5,[DE800192700032-01-01-service-datastore1] images/vcsa-restore-original/VMware-vCenter-Server-Appliance-6.7.0.21000-11726888_OVF10-disk2.vmdk,UNREGISTERED_DIR,1.598,2026-03-25 17:09:31.616210,2026-03-25 17:18:58.038677,2026-03-25 17:19:03.595350,00000000000000000000000000000000000000000000000,True,1,1.598,True
29,DELETE,executed,Mauricio Scaff,5,[DE800192700031-01-01-service-datastore1] images/evorail-restore-original/VXRAIL_Manager-4.7.110.00000-12663824-system.vmdk,UNREGISTERED_DIR,2.442,2026-03-25 17:26:02.087210,2026-03-25 17:35:06.683016,2026-03-25 17:35:14.999411,00000000000000000000000000000000000000000000,True,1,2.442,True
28,DELETE,executed,Mauricio Scaff,5,[DE800192700032-01-01-service-datastore1] images/evorail-restore-original/VXRAIL_Manager-4.7.110.00000-12663824-system.vmdk,UNREGISTERED_DIR,2.442,2026-03-25 17:26:02.062182,2026-03-25 17:37:04.095508,2026-03-25 17:37:08.661932,00000000000000000000000000000000000000000000,True,1,2.442,True
27,DELETE,executed,Mauricio Scaff,5,[DE800192700030-01-01-service-datastore1] images/evorail-restore-original/VXRAIL_Manager-4.7.110.00000-12663824-system.vmdk,UNREGISTERED_DIR,2.442,2026-03-25 17:26:02.023438,2026-03-25 18:14:54.338289,2026-03-25 18:15:18.518365,00000000000000000000000000000000000000000000,True,1,2.442,True
26,DELETE,executed,Mauricio Scaff,5,[DE800192700029-01-01-service-datastore1] images/evorail-restore-original/VXRAIL_Manager-4.7.110.00000-12663824-system.vmdk,UNREGISTERED_DIR,2.442,2026-03-25 17:26:01.991370,2026-03-25 18:14:56.477368,2026-03-25 18:15:20.236352,00000000000000000000000000000000000000000000,True,1,2.442,True
25,DELETE,executed,Mauricio Scaff,5,[DE800192700033-01-01-service-datastore1] images/evorail-restore-original/VXRAIL_Manager-4.7.110.00000-12663824-system.vmdk,UNREGISTERED_DIR,2.442,2026-03-25 17:26:01.962215,2026-03-25 18:14:58.592847,2026-03-25 18:15:21.943451,00000000000000000000000000000000000000000000,True,1,2.442,True
24,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] 01f58c62-8a51-4697-baa4-e4434b799e80TEMPLATE - AlmaLinux 8 Novo.vmdk,UNREGISTERED_DIR,6.652,2026-03-25 17:26:01.934206,2026-03-25 18:14:59.183759,2026-03-25 18:39:16.123565,00000000000000000000000000000000000000000000,True,1,6.652,True
23,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] 1615455f-64fa-a4ed-df4d-e4434b799930TEMPLATE - Linux CentOS 7 (EN-US)-6.5NEW.vmdk,UNREGISTERED_DIR,10.215,2026-03-25 17:26:01.897095,2026-03-25 18:14:59.805718,2026-03-25 18:39:33.088507,00000000000000000000000000000000000000000000,True,1,10.215,True
22,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_1.vmdk,UNREGISTERED_DIR,11.285,2026-03-25 17:26:01.865423,2026-03-25 18:15:00.423057,2026-03-25 18:43:08.327484,00000000000000000000000000000000000000000000,True,1,11.285,True
21,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] 04c2cb5e-4e72-b17f-2743-e4434b799e80TEMPLATE - Windows Server 2019 (EN-US) VXRAIL.vmdk,UNREGISTERED_DIR,16.766,2026-03-25 17:26:01.833885,2026-03-25 18:15:01.283017,2026-03-25 18:44:47.444737,00000000000000000000000000000000000000000000,True,1,16.766,True
18,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_10.vmdk,UNREGISTERED_DIR,20.426,2026-03-25 17:26:01.745636,2026-03-25 18:15:03.115624,2026-03-25 18:49:44.568585,00000000000000000000000000000000000000000000,True,1,20.426,True
19,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_5.vmdk,UNREGISTERED_DIR,20.426,2026-03-25 17:26:01.778874,2026-03-25 18:15:02.532764,2026-03-25 18:51:04.984998,00000000000000000000000000000000000000000000,True,1,20.426,True
20,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_9.vmdk,UNREGISTERED_DIR,20.426,2026-03-25 17:26:01.812420,2026-03-25 18:15:01.912813,2026-03-25 19:00:06.062220,00000000000000000000000000000000000000000000,True,1,20.426,True
17,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_6.vmdk,UNREGISTERED_DIR,30.629,2026-03-25 17:26:01.712346,2026-03-25 19:01:47.833644,2026-03-25 19:02:14.788760,00000000000000000000000000000000000000000000,True,1,30.629,True
16,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_14.vmdk,UNREGISTERED_DIR,30.629,2026-03-25 17:26:01.682688,2026-03-25 19:01:48.416551,2026-03-25 19:02:17.047993,00000000000000000000000000000000000000000000,True,1,30.629,True
15,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_4.vmdk,UNREGISTERED_DIR,40.832,2026-03-25 17:26:01.645856,2026-03-25 19:01:49.001577,2026-03-25 19:02:19.479191,00000000000000000000000000000000000000000000,True,1,40.832,True
14,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_13.vmdk,UNREGISTERED_DIR,51.035,2026-03-25 17:26:01.618189,2026-03-25 19:01:49.592534,2026-03-25 19:02:21.711834,00000000000000000000000000000000000000000000,True,1,51.035,True
13,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_7.vmdk,UNREGISTERED_DIR,51.035,2026-03-25 17:26:01.583504,2026-03-25 19:01:50.185554,2026-03-25 19:02:24.147752,00000000000000000000000000000000000000000000,True,1,51.035,True
12,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] f1f3a95f-2051-810b-5e35-e4434b79a070S1589 - SGI VSA VXRAIL PROD (NacIZrH)_2.vmdk,UNREGISTERED_DIR,51.035,2026-03-25 17:26:01.549333,2026-03-25 19:01:50.801714,2026-03-25 19:02:26.362667,00000000000000000000000000000000000000000000,True,1,51.035,True
11,DELETE,executed,Mauricio Scaff,5,[VxRail-Virtual-SAN-Datastore-8bad6ded-468e-41cb-b0ed-7c447d9c4689] 804cf25e-ce30-7787-682b-e4434b79a100S0777 - MS DOCKER NODE.vmdk,UNREGISTERED_DIR,51.332,2026-03-25 17:26:01.511836,2026-03-25 19:01:51.407305,2026-03-25 19:02:28.570943,00000000000000000000000000000000000000000000,True,1,51.332,True
